Date,Company_Name,Ticker,Sector,Industry,Open,High,Low,Close,Adj_Close,Volume
2024-10-30,Alawwal MT30 ETF,9410.SR,Investment Fund,Saudi Equity ETF,10.0,10.020000457763672,9.970000267028809,9.970000267028809,9.970000267028809,192477
2024-10-31,Alawwal MT30 ETF,9410.SR,Investment Fund,Saudi Equity ETF,9.869999885559082,9.869999885559082,9.779999732971191,9.8100004196167,9.8100004196167,202390
2024-11-03,Alawwal MT30 ETF,9410.SR,Investment Fund,Saudi Equity ETF,9.779999732971191,10.399999618530272,9.770000457763672,10.0,10.0,1374971
2024-11-04,Alawwal MT30 ETF,9410.SR,Investment Fund,Saudi Equity ETF,10.020000457763672,10.640000343322754,9.979999542236328,10.020000457763672,10.020000457763672,3144740
2024-11-06,Alawwal MT30 ETF,9410.SR,Investment Fund,Saudi Equity ETF,9.979999542236328,10.0,9.789999961853027,9.869999885559082,9.869999885559082,866875
2024-11-07,Alawwal MT30 ETF,9410.SR,Investment Fund,Saudi Equity ETF,10.0,10.0600004196167,9.899999618530272,9.93000030517578,9.93000030517578,389235
2024-11-10,Alawwal MT30 ETF,9410.SR,Investment Fund,Saudi Equity ETF,10.0600004196167,10.100000381469728,9.989999771118164,10.100000381469728,10.100000381469728,191450
2024-11-11,Alawwal MT30 ETF,9410.SR,Investment Fund,Saudi Equity ETF,9.90999984741211,9.93000030517578,9.869999885559082,9.90999984741211,9.90999984741211,144248
2024-11-12,Alawwal MT30 ETF,9410.SR,Investment Fund,Saudi Equity ETF,9.760000228881836,9.760000228881836,9.699999809265137,9.710000038146973,9.710000038146973,130767
2024-11-13,Alawwal MT30 ETF,9410.SR,Investment Fund,Saudi Equity ETF,9.539999961853027,9.609999656677246,9.489999771118164,9.510000228881836,9.510000228881836,282312
2024-11-14,Alawwal MT30 ETF,9410.SR,Investment Fund,Saudi Equity ETF,9.470000267028809,9.479999542236328,9.380000114440918,9.470000267028809,9.470000267028809,71719
2024-11-17,Alawwal MT30 ETF,9410.SR,Investment Fund,Saudi Equity ETF,9.390000343322754,9.399999618530272,9.3100004196167,9.3100004196167,9.3100004196167,35725
2024-11-18,Alawwal MT30 ETF,9410.SR,Investment Fund,Saudi Equity ETF,9.380000114440918,9.640000343322754,9.329999923706056,9.390000343322754,9.390000343322754,151441
2024-11-19,Alawwal MT30 ETF,9410.SR,Investment Fund,Saudi Equity ETF,9.399999618530272,9.470000267028809,9.31999969482422,9.359999656677246,9.359999656677246,67929
2024-11-20,Alawwal MT30 ETF,9410.SR,Investment Fund,Saudi Equity ETF,9.520000457763672,9.579999923706056,9.5,9.539999961853027,9.539999961853027,52260
2024-11-21,Alawwal MT30 ETF,9410.SR,Investment Fund,Saudi Equity ETF,9.550000190734863,9.550000190734863,9.529999732971191,9.539999961853027,9.539999961853027,9045
2024-11-24,Alawwal MT30 ETF,9410.SR,Investment Fund,Saudi Equity ETF,9.5,9.5,9.289999961853027,9.31999969482422,9.31999969482422,71038
2024-11-25,Alawwal MT30 ETF,9410.SR,Investment Fund,Saudi Equity ETF,9.270000457763672,9.279999732971191,9.239999771118164,9.279999732971191,9.279999732971191,26822
2024-11-26,Alawwal MT30 ETF,9410.SR,Investment Fund,Saudi Equity ETF,9.260000228881836,9.260000228881836,9.220000267028809,9.229999542236328,9.229999542236328,15181
2024-11-27,Alawwal MT30 ETF,9410.SR,Investment Fund,Saudi Equity ETF,9.3100004196167,9.380000114440918,9.279999732971191,9.34000015258789,9.34000015258789,23477
2024-11-28,Alawwal MT30 ETF,9410.SR,Investment Fund,Saudi Equity ETF,9.520000457763672,9.56999969482422,9.359999656677246,9.390000343322754,9.390000343322754,71503
2024-12-01,Alawwal MT30 ETF,9410.SR,Investment Fund,Saudi Equity ETF,9.420000076293944,9.420000076293944,9.350000381469728,9.359999656677246,9.359999656677246,7875
