Price,Close,High,Low,Open,Volume,Ticker,Fund
Ticker,^TASI.SR,^TASI.SR,^TASI.SR,^TASI.SR,^TASI.SR,,
Date,,,,,,,
2019-01-01,7798.39013671875,7832.240234375,7795.02001953125,7826.72998046875,62440100,^TASI.SR,TASI_Index
2019-01-02,7790.85986328125,7798.39013671875,7765.83984375,7798.39013671875,66305700,^TASI.SR,TASI_Index
2019-01-03,7830.47021484375,7834.52978515625,7774.8798828125,7790.85986328125,72169700,^TASI.SR,TASI_Index
2019-01-06,7932.240234375,7933.89990234375,7830.47021484375,7830.47021484375,98081400,^TASI.SR,TASI_Index
2019-01-07,8047.580078125,8050.72021484375,7932.240234375,7932.240234375,130104000,^TASI.SR,TASI_Index
2019-01-08,8057.0400390625,8071.97021484375,8007.33984375,8047.580078125,139844400,^TASI.SR,TASI_Index
2019-01-09,8146.68017578125,8146.68017578125,8057.0400390625,8057.0400390625,141926200,^TASI.SR,TASI_Index
2019-01-10,8210.16015625,8230.1298828125,8146.68017578125,8146.68017578125,134557900,^TASI.SR,TASI_Index
2019-01-13,8291.66015625,8310.990234375,8195.0498046875,8210.16015625,118550900,^TASI.SR,TASI_Index
2019-01-14,8270.5498046875,8306.509765625,8262.8701171875,8291.66015625,121521300,^TASI.SR,TASI_Index
2019-01-15,8347.25,8352.6201171875,8261.9697265625,8270.5498046875,117886500,^TASI.SR,TASI_Index
2019-01-16,8406.4697265625,8423.6201171875,8347.25,8347.25,137606800,^TASI.SR,TASI_Index
2019-01-17,8448.01953125,8448.01953125,8380.580078125,8406.4697265625,107178800,^TASI.SR,TASI_Index
2019-01-20,8383.51953125,8468.6201171875,8372.509765625,8448.01953125,104902300,^TASI.SR,TASI_Index
2019-01-21,8402.0400390625,8402.0400390625,8267.6298828125,8383.51953125,173723600,^TASI.SR,TASI_Index
2019-01-22,8399.400390625,8419.7099609375,8386.4296875,8402.0400390625,114270800,^TASI.SR,TASI_Index
2019-01-23,8466.099609375,8466.099609375,8399.400390625,8399.400390625,115245100,^TASI.SR,TASI_Index
2019-01-24,8434.8896484375,8466.099609375,8420.2802734375,8466.099609375,106386000,^TASI.SR,TASI_Index
2019-01-27,8509.4296875,8528.2998046875,8408.83984375,8434.8896484375,166686900,^TASI.SR,TASI_Index
2019-01-28,8623.9296875,8623.9296875,8504.7802734375,8509.4296875,199578600,^TASI.SR,TASI_Index
2019-01-29,8581.48046875,8635.58984375,8539.599609375,8623.9296875,152132300,^TASI.SR,TASI_Index
2019-01-30,8583.6298828125,8604.009765625,8556.4296875,8581.48046875,152173700,^TASI.SR,TASI_Index
2019-01-31,8559.9501953125,8623.1796875,8559.9501953125,8583.6298828125,149819000,^TASI.SR,TASI_Index
2019-02-03,8526.7099609375,8590.66015625,8514.6298828125,8559.9501953125,109554500,^TASI.SR,TASI_Index
2019-02-04,8520.6396484375,8568.6103515625,8506.7802734375,8526.7099609375,108301600,^TASI.SR,TASI_Index
2019-02-05,8623.919921875,8624.76953125,8520.6396484375,8520.6396484375,131288700,^TASI.SR,TASI_Index
2019-02-06,8633.330078125,8677.73046875,8616.5,8623.919921875,125901600,^TASI.SR,TASI_Index
2019-02-07,8612.83984375,8648.7900390625,8609.259765625,8633.330078125,101434000,^TASI.SR,TASI_Index
2019-02-10,8573.2099609375,8633.76953125,8558.4296875,8612.83984375,91362100,^TASI.SR,TASI_Index
2019-02-11,8543.3896484375,8586.8603515625,8531.3896484375,8573.2099609375,91531700,^TASI.SR,TASI_Index
2019-02-12,8600.3203125,8600.3203125,8532.349609375,8543.3896484375,119741000,^TASI.SR,TASI_Index
2019-02-13,8617.2197265625,8661.3095703125,8600.3203125,8600.3203125,104577400,^TASI.SR,TASI_Index
